[2026-03-05 08:16:37 INF] Background worker service is starting.
[2026-03-05 08:16:39 INF] JobLockStart
[2026-03-05 08:16:39 INF] JobStart
[2026-03-05 08:16:39 INF] AdmissionsQuotaStatusJob
[2026-03-05 08:16:39 INF] JobCompleteStart
[2026-03-05 08:16:39 INF] JobCompleteDone
[2026-03-05 08:16:39 INF] JobLockDone
[2026-03-05 08:16:39 INF] JobTriggerUsableStart
[2026-03-05 08:16:39 INF] JobUsableStart
[2026-03-05 08:16:39 INF] AdmissionsQuotaStatusJob
[2026-03-05 08:16:39 INF] JobDone
[2026-03-05 08:16:39 INF] JobUsableNoData
[2026-03-05 08:16:39 INF] JobTriggerUsableDone
[2026-03-05 08:16:48 INF] Request: DeleteRefreshTokenCommand (3 ms) {"UserName":null,"$type":"DeleteRefreshTokenCommand"} | User: - | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/logout
[2026-03-05 08:19:06 INF] Request: GetAllCompaniesQuery (3 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:19:06 INF] Request: GetAllWorkingTimeConfigurationsQuery (81 ms) {"$type":"GetAllWorkingTimeConfigurationsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/workingtimeconfiguration/GetAllWorkingTimeConfigurations
[2026-03-05 08:19:06 INF] Request: GetAllWorkingTimesByConfigIdQuery (30 ms) {"ConfigurationId":"79e3553a-1daf-4af6-94a8-9bab494e8f60","$type":"GetAllWorkingTimesByConfigIdQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/workingtime/GetAllWorkingTimesByConfigId
[2026-03-05 08:19:10 INF] Request: GetAllItemsQuery (16 ms) {"$type":"GetAllItemsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/item/GetAllItems
[2026-03-05 08:19:16 INF] Request: GenerateCodeQuery (1 ms) {"GenerateCodeRequest":{"Prefix":"SK","TableName":"Event","ColumnName":"EventCode","Length":4,"Format":null,"Year":0,"Month":0,"$type":"GenerateCodeRequest"},"$type":"GenerateCodeQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/common/GenerateCode
[2026-03-05 08:19:33 INF] Request: AddEventCommand (65 ms) {"EventModel":{"EventCode":"SK0001","EventName":"event","Description":"vong quay may man","Category":"Event","AllocationDetailEvents":[],"Id":"2284b4c7-3287-4d54-91cd-1808b7346582","CreatedAt":"2026-03-05T01:19:32.9797066Z","UpdatedAt":null,"IsDeleted":false,"DeletedAt":null,"CreatedBy":null,"UpdatedBy":null,"DeletedBy":null,"Status":"InActive","$type":"EventModel"},"$type":"AddEventCommand"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/AddEvent
[2026-03-05 08:19:33 INF] Request: GetAllEventsQuery (8 ms) {"$type":"GetAllEventsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/GetAllEvents
[2026-03-05 08:19:50 INF] Request: GetAllCompaniesQuery (2 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:19:50 INF] Request: GetAllEmployeesQuery (140 ms) {"$type":"GetAllEmployeesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetAllEmployees
[2026-03-05 08:19:50 INF] Request: GetAllCustomQuery (182 ms) {"$type":"GetAllCustomQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllCustoms
[2026-03-05 08:20:08 INF] Hard delete: Event (ID: 2284b4c7-3287-4d54-91cd-1808b7346582)
[2026-03-05 08:20:08 INF] Request: DeleteListEventCommand (50 ms) {"ListIds":["2284b4c7-3287-4d54-91cd-1808b7346582"],"$type":"DeleteListEventCommand"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/DeleteListEvents
[2026-03-05 08:20:08 INF] Request: GetAllEventsQuery (1 ms) {"$type":"GetAllEventsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/GetAllEvents
[2026-03-05 08:20:21 INF] Request: DeleteRefreshTokenCommand (0 ms) {"UserName":null,"$type":"DeleteRefreshTokenCommand"} | User: - | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/logout
[2026-03-05 08:20:21 INF] User [admin@regaledu.vn] logged in the system.
[2026-03-05 08:20:21 INF] Request: GetUserLoginResultQuery (74 ms) {"UserName":"admin@regaledu.vn","Password":"Admin@123","RememberMe":true,"$type":"GetUserLoginResultQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/login
[2026-03-05 08:20:23 INF] Request: GetNotificationsQuery (2 ms) {"UserId":"980a03f3-2de2-4ed2-af65-08de7995940a","Page":1,"PageSize":10,"$type":"GetNotificationsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Notification/GetNotifications
[2026-03-05 08:20:56 INF] Request: GetAllCompaniesQuery (1 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:20:56 INF] Request: GetAllCompaniesQuery (1 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:20:56 INF] Request: GetAllDegreesQuery (18 ms) {"$type":"GetAllDegreesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/degree/GetAllDegrees
[2026-03-05 08:20:56 INF] Request: GetProvincesQuery (20 ms) {"$type":"GetProvincesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/common/Provinces
[2026-03-05 08:20:56 INF] Request: GetAllTeachersQuery (71 ms) {"$type":"GetAllTeachersQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Teacher/GetAllTeachers
[2026-03-05 08:20:57 INF] Request: GetAllCompaniesQuery (2 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:20:57 INF] Request: GetAllEmployeesQuery (2 ms) {"$type":"GetAllEmployeesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetAllEmployees
[2026-03-05 08:20:57 INF] Request: GetAllStudentsQuery (6 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:21:05 INF] Request: GetAllCompaniesQuery (2 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:21:05 INF] Request: GetPagedEmployeesQuery (128 ms) {"EmployeeQuery":{"ApplicationUserId":null,"CompanyId":null,"PositionId":null,"DepartmentId":null,"EmployeeTax":null,"IsSupport":null,"OperationalSupportTeam":null,"Page":1,"PageSize":30,"$type":"EmployeeQuery"},"$type":"GetPagedEmployeesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetPagedEmployees
[2026-03-05 08:21:22 INF] Request: GetAccountGroupsQuery (17 ms) {"AccountGroupQuery":{"Page":1,"PageSize":10,"CreatedAt":null,"Name":null,"Enable":null,"UseDefault":null,"$type":"AccountGroupQuery"},"$type":"GetAccountGroupsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroup/GetAccountGroups
[2026-03-05 08:21:22 INF] Request: GetAllApplicationUsersQuery (55 ms) {"$type":"GetAllApplicationUsersQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/user/GetAllApplicationUsers
[2026-03-05 08:21:29 INF] Request: GetAllAccountGroupsQuery (10 ms) {"$type":"GetAllAccountGroupsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroup/GetAllAccountGroups
[2026-03-05 08:22:08 INF] Request: GetAllCompaniesQuery (2 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:22:08 INF] Request: GetPagedCoursesQuery (4 ms) {"CourseQuery":{"CourseCode":null,"CourseName":null,"CourseStatus":null,"Page":1,"PageSize":30,"Status":null,"$type":"CourseQuery"},"$type":"GetPagedCoursesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/course/GetPagedCourses
[2026-03-05 08:22:08 INF] Request: GetAllStudentsQuery (10 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:22:08 INF] Request: GetAllStudentsQuery (9 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:22:08 INF] Request: GetAllCouponTypesQuery (4 ms) {"$type":"GetAllCouponTypesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponType/GetAllCouponTypes
[2026-03-05 08:26:52 INF] Request: DeleteRefreshTokenCommand (0 ms) {"UserName":null,"$type":"DeleteRefreshTokenCommand"} | User: - | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/logout
[2026-03-05 08:26:52 INF] User [admin@regaledu.vn] logged in the system.
[2026-03-05 08:26:52 INF] Request: GetUserLoginResultQuery (84 ms) {"UserName":"admin@regaledu.vn","Password":"Admin@123","RememberMe":true,"$type":"GetUserLoginResultQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/login
[2026-03-05 08:26:53 INF] Request: GetNotificationsQuery (3 ms) {"UserId":"980a03f3-2de2-4ed2-af65-08de7995940a","Page":1,"PageSize":10,"$type":"GetNotificationsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Notification/GetNotifications
[2026-03-05 08:26:57 INF] Request: GetAllEventsQuery (4 ms) {"$type":"GetAllEventsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/GetAllEvents
[2026-03-05 08:31:56 INF] Request: GetEmployeeByIdOrEmailQuery (240 ms) {"Id":null,"CompanyEmail":"admin@regaledu.vn","$type":"GetEmployeeByIdOrEmailQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetEmployeeByIdOrEmail
[2026-03-05 08:32:03 INF] Request: GetAllApplicationUsersQuery (1 ms) {"$type":"GetAllApplicationUsersQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/user/GetAllApplicationUsers
[2026-03-05 08:32:03 INF] Request: GetAccountGroupsQuery (2 ms) {"AccountGroupQuery":{"Page":1,"PageSize":10,"CreatedAt":null,"Name":null,"Enable":null,"UseDefault":null,"$type":"AccountGroupQuery"},"$type":"GetAccountGroupsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroup/GetAccountGroups
[2026-03-05 08:32:12 INF] Request: GetAccountGroupEmployeeByGroupIdQuery (16 ms) {"AccountGroupId":"ffc16c5b-92dc-4bbb-b30c-b8668da2e2c0","$type":"GetAccountGroupEmployeeByGroupIdQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/GetAccountGroupEmployeeByGroupId
[2026-03-05 08:32:12 INF] Request: GetEmployeeNoGroupQuery (12 ms) {"$type":"GetEmployeeNoGroupQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/GetEmployeeNoGroup
[2026-03-05 08:32:14 INF] Request: SaveAccountGroupEmployeeCommand (62 ms) {"AccountGroupEmployeeRequestModel":{"AccountGroupId":"ffc16c5b-92dc-4bbb-b30c-b8668da2e2c0","ListUserCode":["UC000027","EP0001","EM0001",""],"ListIsApprover":[false,false,false,false],"$type":"AccountGroupEmployeeRequestModel"},"$type":"SaveAccountGroupEmployeeCommand"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/SaveAccountGroupEmployee
[2026-03-05 08:32:21 INF] Request: GetNotificationsQuery (2 ms) {"UserId":"980a03f3-2de2-4ed2-af65-08de7995940a","Page":1,"PageSize":10,"$type":"GetNotificationsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Notification/GetNotifications
[2026-03-05 08:32:21 INF] Request: GetAllApplicationUsersQuery (1 ms) {"$type":"GetAllApplicationUsersQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/user/GetAllApplicationUsers
[2026-03-05 08:32:21 INF] Request: GetAccountGroupsQuery (2 ms) {"AccountGroupQuery":{"Page":1,"PageSize":10,"CreatedAt":null,"Name":null,"Enable":null,"UseDefault":null,"$type":"AccountGroupQuery"},"$type":"GetAccountGroupsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroup/GetAccountGroups
[2026-03-05 08:32:38 INF] Request: GetAccountGroupEmployeeByGroupIdQuery (1 ms) {"AccountGroupId":"a600aba0-c4ad-40a7-b7b1-5a6e2b86a250","$type":"GetAccountGroupEmployeeByGroupIdQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/GetAccountGroupEmployeeByGroupId
[2026-03-05 08:32:38 INF] Request: GetEmployeeNoGroupQuery (1 ms) {"$type":"GetEmployeeNoGroupQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/GetEmployeeNoGroup
[2026-03-05 08:32:46 INF] Request: GetAccountGroupEmployeeByGroupIdQuery (1 ms) {"AccountGroupId":"ffc16c5b-92dc-4bbb-b30c-b8668da2e2c0","$type":"GetAccountGroupEmployeeByGroupIdQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/GetAccountGroupEmployeeByGroupId
[2026-03-05 08:32:46 INF] Request: GetEmployeeNoGroupQuery (1 ms) {"$type":"GetEmployeeNoGroupQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/GetEmployeeNoGroup
[2026-03-05 08:32:50 INF] Request: SaveAccountGroupEmployeeCommand (11 ms) {"AccountGroupEmployeeRequestModel":{"AccountGroupId":"ffc16c5b-92dc-4bbb-b30c-b8668da2e2c0","ListUserCode":["UC000027","EP0001","EM0001",""],"ListIsApprover":[false,false,false,false],"$type":"AccountGroupEmployeeRequestModel"},"$type":"SaveAccountGroupEmployeeCommand"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroupEmployee/SaveAccountGroupEmployee
[2026-03-05 08:32:59 INF] Request: GetAllAccountGroupsQuery (1 ms) {"$type":"GetAllAccountGroupsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/AccountGroup/GetAllAccountGroups
[2026-03-05 08:33:41 INF] Request: GetAllEventsQuery (0 ms) {"$type":"GetAllEventsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/GetAllEvents
[2026-03-05 08:33:43 INF] Request: GenerateCodeQuery (2 ms) {"GenerateCodeRequest":{"Prefix":"SK","TableName":"Event","ColumnName":"EventCode","Length":4,"Format":null,"Year":0,"Month":0,"$type":"GenerateCodeRequest"},"$type":"GenerateCodeQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/common/GenerateCode
[2026-03-05 08:33:48 INF] Request: GetAllCustomQuery (2 ms) {"$type":"GetAllCustomQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllCustoms
[2026-03-05 08:33:48 INF] Request: GetAllCompaniesQuery (2 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:33:48 INF] Request: GetAllEmployeesQuery (1 ms) {"$type":"GetAllEmployeesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetAllEmployees
[2026-03-05 08:33:51 INF] Request: GetAllReceiptsQuery (1 ms) {"$type":"GetAllReceiptsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Receipt/GetAllReceipts
[2026-03-05 08:33:53 INF] Request: GetAllCompaniesQuery (2 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:33:53 INF] Request: GetPagedCoursesQuery (4 ms) {"CourseQuery":{"CourseCode":null,"CourseName":null,"CourseStatus":null,"Page":1,"PageSize":30,"Status":null,"$type":"CourseQuery"},"$type":"GetPagedCoursesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/course/GetPagedCourses
[2026-03-05 08:33:53 INF] Request: GetAllStudentsQuery (8 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:33:53 INF] Request: GetAllCouponTypesQuery (6 ms) {"$type":"GetAllCouponTypesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponType/GetAllCouponTypes
[2026-03-05 08:33:53 INF] Request: GetAllStudentsQuery (10 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:34:01 INF] Request: GetAllCouponTypesQuery (2 ms) {"$type":"GetAllCouponTypesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponType/GetAllCouponTypes
[2026-03-05 08:34:01 INF] Request: GetAllCouponTypesQuery (3 ms) {"$type":"GetAllCouponTypesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponType/GetAllCouponTypes
[2026-03-05 08:34:01 INF] Request: GetAllStudentsQuery (6 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:34:01 INF] Request: GetAllCouponQuery (58 ms) {"$type":"GetAllCouponQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponIssue/GetAllCoupons
[2026-03-05 08:34:01 INF] Request: GetAllCouponQuery (58 ms) {"$type":"GetAllCouponQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponIssue/GetAllCoupons
[2026-03-05 08:34:01 INF] Request: GetAllCouponIssuesQuery (100 ms) {"$type":"GetAllCouponIssuesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponIssue/GetAllCouponIssues
[2026-03-05 08:34:01 INF] Request: GetAllCouponIssuesQuery (101 ms) {"$type":"GetAllCouponIssuesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponIssue/GetAllCouponIssues
[2026-03-05 08:34:04 INF] Request: GetAllPromotionGroupsQuery (17 ms) {"$type":"GetAllPromotionGroupsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/promotiongroup/GetAllPromotionGroups
[2026-03-05 08:34:10 INF] Request: GetAllEmployeesQuery (1 ms) {"$type":"GetAllEmployeesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetAllEmployees
[2026-03-05 08:34:10 INF] Request: GetAllCompaniesQuery (1 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:34:10 INF] Request: GetAllStudentsQuery (5 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:34:12 INF] Request: GetAllCompaniesQuery (1 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:34:12 INF] Request: GetAllCompaniesQuery (1 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:34:12 INF] Request: GetAllTeachersQuery (1 ms) {"$type":"GetAllTeachersQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Teacher/GetAllTeachers
[2026-03-05 08:34:12 INF] Request: GetAllDegreesQuery (2 ms) {"$type":"GetAllDegreesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/degree/GetAllDegrees
[2026-03-05 08:34:12 INF] Request: GetProvincesQuery (1 ms) {"$type":"GetProvincesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/common/Provinces
[2026-03-05 08:34:16 INF] Request: GetAllEmployeesQuery (2 ms) {"$type":"GetAllEmployeesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/employee/GetAllEmployees
[2026-03-05 08:34:16 INF] Request: GetAllReceiptsQuery (2 ms) {"$type":"GetAllReceiptsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Receipt/GetAllReceipts
[2026-03-05 08:34:16 INF] Request: GetAllStudentsQuery (7 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:34:17 INF] Request: GetAllCoursesQuery (109 ms) {"$type":"GetAllCoursesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/course/GetAllCourses
[2026-03-05 08:34:17 INF] Request: GetAllRegisterStudysQuery (221 ms) {"$type":"GetAllRegisterStudysQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/RegisterStudy/GetAllRegisterStudy
[2026-03-05 08:34:17 INF] Request: GetAllRegisterStudysQuery (224 ms) {"$type":"GetAllRegisterStudysQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/RegisterStudy/GetAllRegisterStudy
